Link;Price per month (total);Distance from CW (minutes walking);Distance from bus/tram stop (min walk);Area of room (m^2);Parking price;Security deposit
https://www.olx.pl/d/oferta/wynajem-pokoju-poznan-milczanska-5-CID3-ID17lGFT.html?search_reason=search%7Cpromoted;1170;23;4;10;200;1100
https://www.olx.pl/d/oferta/wynajem-pokoju-poznan-milczanska-5-CID3-ID17lGFT.html?search_reason=search%7Cpromoted;1070;23;4;8;200;1000
https://www.olx.pl/d/oferta/wynajme-maly-pokoj-os-armii-krajowej-CID3-ID19JlmW.html?search_reason=search%7Corganic;690;43;5;8;0;690
https://www.olx.pl/d/oferta/pokoj-do-wynajecia-CID3-ID19THhu.html?search_reason=search%7Corganic;900;43;4;14;0;900
https://www.olx.pl/d/oferta/na-wynajem-pokoj-1-osobowy-piatkowie-dla-dziewczyny-wolne-od-zaraz-CID3-ID19QRV2.html?search_reason=search%7Cpromoted;1150;104;7;15;0;1100
https://www.olx.pl/d/oferta/pokoj-wynajem-poznan-CID3-ID1932Tl.html?search_reason=search%7Cpromoted;1700;20;4;10;0;1600
https://www.olx.pl/d/oferta/pokoj-na-wynajem-ul-kolejowa-CID3-ID19TS6I.html?search_reason=search%7Cpromoted;1100;63;8;9;0;1100
https://www.olx.pl/d/oferta/wynajem-pokoju-na-ratajach-CID3-ID19Sp6i.html?search_reason=search%7Cpromoted;900;41;3;14;0;900
https://www.olx.pl/d/oferta/wynajme-pokoj-na-os-winogrady-CID3-ID187JTO.html?search_reason=search%7Corganic;970;55;5;14;0;900
https://www.olx.pl/d/oferta/piekny-pokoj-do-wynajecia-w-centrum-pl-asnyka-CID3-ID16FvNT.html?search_reason=search%7Corganic;900;47;6;7;300;700
https://www.olx.pl/d/oferta/pokoj-10m2-na-wynajem-os-zwyciestwa-CID3-ID19Wjl1.html?search_reason=search%7Corganic;1350;61;1;10;0;1350
https://www.olx.pl/d/oferta/pokoj-na-wynajem-os-chrobrego-poznan-CID3-ID19zVfh.html?search_reason=search%7Corganic;1250;99;7;12;0;1250
https://www.olx.pl/d/oferta/pokoj-na-wynajem-os-chrobrego-poznan-CID3-ID19zVfh.html?search_reason=search%7Corganic;1100;99;7;9;0;1100
https://www.olx.pl/d/oferta/wynajem-pokoju-od-zaraz-stare-zegrze-29-CID3-ID19Wyt2.html?search_reason=search%7Corganic;750;46;3;11;0;600
https://www.olx.pl/d/oferta/pokoj-na-wynajem-w-centrum-poznania-CID3-ID17xAad.html?search_reason=search%7Corganic;1100;58;6;16;250;600
https://www.olx.pl/d/oferta/duzy-pokoj-w-centrum-poznania-CID3-ID19Wd36.html?search_reason=search%7Cpromoted;1150;26;4;15;300;1100
https://www.olx.pl/d/oferta/pokoj-na-armii-krajowej-czysty-spokojne-mieszkanie-hoca1-CID3-ID17BkJV.html?search_reason=search%7Corganic;1150;48;5;8;0;600
https://www.olx.pl/d/oferta/pokoj-na-glogowskiej-wysoki-standard-CID3-ID134SDO.html?search_reason=search%7Corganic;1100;54;4;8;300;1000
https://www.otodom.pl/pl/oferta/nowe-przytulne-komfortowe-4-pokoje-na-wynajem-ID4yGD0;1350;81;9;11;0;1350
https://www.olx.pl/d/oferta/pokoj-jednoosobowy-bezposrednio-CID3-ID19RmlO.html?search_reason=search%7Cpromoted;950;115;7;8;0;950
https://www.olx.pl/d/oferta/pokoj-jednoosobowy-w-sercu-lazarza-z-balkonem-CID3-ID19S2pW.html?search_reason=search%7Cpromoted;1600;36;1;15;0;1400
https://www.olx.pl/d/oferta/pokoj-jednoosobowy-w-nowoczesnym-mieszkaniu-na-malcie-CID3-ID19WmUn.html?search_reason=search%7Cpromoted;1280;22;5;10;200;100
